Come in!	Qǐng jìn!	请进！
What's your name?	Nǐ jiào shénme míngzi?	你叫什么名字？
What do you study?	Nǐ xuéxí shénme?	你学习什么？
Where do you study Chinese?	Nǐ zài nǎr xuéxí zhōngwén	你在哪儿学习中文？
Do you have tutoring in the evening.  No, I don't.	Wǎnshàng nǐ yǒu fǔdǎo ma?  Méi yǒu.	晚上你有辅导吗？没有。
I review in the dormitory.	Wǒ zài sùshè fùxí.	我在宿舍复习。
That's the dining hall and the shop.	Nà shi shítáng hé shāngdiàn.	那是食堂和商店。
Where's the library?	Túshūguǎn zài nǎr?	图书馆在哪儿？
laboratory	shíyànshì	实验室
Hello, is Prof. Wang there?	Wèi! Wáng lǎoshī zài ma?	喂！王老师在吗？
Hold on, I'll go check. (phone)	Qíng nǐ děngyiděng.  Wǒ qù kànyikàn.	请你等一等。我去看一看。
I wanted to talk to him about the exam questions.	Wǒ xiǎng gēn tā tántan kǎoshì de wèntí.	我想跟他谈谈考试的问题。
When is he coming back?	Tā shénme shíhou huílai?	他什么时候回来？
When he gets back, ask him to call me.	Tā huílai yǐhòu gěi wǒ dǎ ge diànhuà.	他回来以后给我打个电话。
None of them are teachers.	Tāmen dōu bú shi lǎoshī.	他们都不是老师。
He teaches us history.	Tā jiāo wǒmen lìshǐ.	他教我们历史。
We practice listening and also speaking.	Wǒmen liànxí tīng, yě liànxí shuō.	我们练习听，也练习说。
I study hard.	Wǒ nǔlì xuéxí.	我努力学习。
504	wǔbǎi líng sì	五百零四
2069	èrqiān líng liùshí jiǔ	二千零六十九
How many is that (i.e. 100, 200, 300, etc.)?	Nà shi jǐbǎi?	那是几百？
four notebooks	sì ge běnzi	四个本子
seven pencils	qī zhī qiānbǐ	七枝铅笔
eight sheets of paper	bā zhāng zhǐ	八张纸
This is a good pencil.	Zhè zhī qiānbǐ hěn hǎo.	这枝铅笔很好。
That's magazine's old.	Nà běn zázhì jiù.	那本杂志旧。
This paper is very white.	Zhè zhāng zhǐ hěn bái.	这张纸很白。
Do you have a lot of Chinese books?	Nǐ de zhōngwén shū duō bu duō?	你的中文书多不多？
Is this text long?	Zhè kè kèwén cháng bu cháng?	这课课文长不长？
We have few books in French.	Wǒmen de fǎwén shū shǎo.	我们的法文书少。
This book is thin.	Zhè běn shū báo.	这本书薄。
Everyone has two.	Měirén yǒu liǎngge.	每人有两个。
Do you all read Chinese newspapers?	Nǐmen dōu kàn zhōngwén bào ma?	你们都看中文报吗？
He analyzes the sentence.	Tā fēnxi jùzi.	他分析句子。
Do you read the paper often?	Nǐ chángchang kàn bào ma?	你常常看报吗？
Every one of them reads the paper.	Tāmen měige rén dōu kàn bào.	他们每个人都看报。
Will you give me a People's Pictorial?	Nǐ gěi wǒ yìběn rénmín hùabào hǎobùhǎo?	你给我一本人民画报好不好？
We're a class of 22.	Wǒmen bān èrshíèrge rén.	我们班二十二个人。
We all study in this classroom.	Wǒmen dōu zài zhèjiān jiàoshì xuéxí.	我们都在这间教室学习。
In the first class this morning we study a new text.	Jīntiān shàngwǔ dìyījié xuéxí xīn kèwén.	今天上午第一节学习新课文。
In the second class he explains the grammar.	Dìèrjié tā jiǎng yǔfǎ.	第二节他讲语法。
He often comes to help us.	Tā chángchang lái bāngzhù wǒmen.	他常常来帮助我们。
This evening I'll ask him.	Jīntiān wǎnshàng wèn tā.	今天晚上问他。
The two lessons have a total of 37 vocabulary words.	Liǎngkè yígòng yǒu sānshíqīge shēngcí.	两课一共有三十七个生词。
It has one table and two chairs.	Yǒu yī zhāng zhuōzi hé liǎngbǎ yǐzi.	有一张桌子和两把椅子。
That's a thin one.	Nàge shì báo de.	那个是薄的。
All the Chinese magazines belong to the library.	Zhōngwén zázhì dōu shì túshūguǎn de.	中文杂志都是图书馆的。
Six (sheets of paper) are green.	Liùzhāng shì lǜ de.	六张是绿的。
